区域ID,产品ID,区域名字
1,1,DHL区域1
2,1,DHL区域2
3,1,DHL区域3
4,1,DHL区域4
5,1,DHL区域5
6,1,DHL区域6
7,1,DHL区域7
8,1,DHL区域8
9,1,DHL区域9
10,1,DHL区域10
11,1,DHL区域11
12,1,DHL区域12
13,1,DHL区域13
14,1,DHL区域14
15,1,DHL区域15
16,1,DHL区域16
17,1,DHL区域17
18,3,UPS区域1
19,3,UPS区域2
20,3,UPS区域3
21,3,UPS区域4
22,3,UPS区域5
23,3,UPS区域6
24,3,UPS区域7
25,3,UPS区域8
26,3,UPS区域9
27,4,TNT区域1
28,4,TNT区域2
29,4,TNT区域3
30,4,TNT区域4
31,4,TNT区域5
32,4,TNT区域6
33,4,TNT区域7
34,4,TNT区域8
35,4,TNT区域9
36,4,TNT区域10
37,4,TNT区域11
38,4,TNT区域12
39,4,TNT区域13
40,2,EMS区域1
41,2,EMS区域2
42,2,EMS区域3
43,2,EMS区域4
44,2,EMS区域5
45,2,EMS区域6
46,2,EMS区域7
47,2,EMS区域8
48,2,EMS区域9
