,,,,zone id,27,28,29,30,31,32,33,34,35,36,37,38,39
产品ID,开始重量,结束重量,总价单价标志,单位（单价有效）,1区,二区,三区,四区,五区,六区,七区,八区,九区,十区,十一区,十二区,十三区
4,0,0.5,1,0,70,135,146,132,149,177,166,174,215,234,214,219,291
4,0.5,1,1,0,79,161,176,160,189,219,205,213,271,295,269,275,363
4,1,1.5,1,0,88,187,207,188,228,261,244,252,327,356,323,331,434
4,1.5,2,1,0,97,214,237,216,268,302,283,291,384,418,377,386,505
4,2,2.5,1,0,105,240,268,245,307,344,322,330,440,479,431,442,577
4,2.5,3,1,0,114,267,298,273,347,386,360,369,496,541,486,497,648
4,3,3.5,1,0,123,293,329,301,386,428,399,407,552,602,540,553,719
4,3.5,4,1,0,132,320,360,329,425,469,438,446,609,663,594,608,791
4,4,4.5,1,0,141,346,390,357,465,511,477,485,665,725,648,664,862
4,4.5,5,1,0,149,372,421,385,504,553,516,524,721,786,703,719,933
4,5,5.5,1,0,157,394,443,408,541,592,551,561,772,847,745,771,1004
4,5.5,6,1,0,165,416,464,430,578,631,586,597,822,908,788,823,1074
4,6,6.5,1,0,173,438,486,453,614,669,621,634,873,969,830,875,1145
4,6.5,7,1,0,181,460,508,475,651,708,655,671,923,1030,873,926,1215
4,7,7.5,1,0,188,482,530,498,687,747,690,708,974,1091,915,978,1286
4,7.5,8,1,0,196,504,552,520,724,786,725,744,1024,1152,958,1030,1356
4,8,8.5,1,0,204,526,574,542,761,825,760,781,1074,1213,1000,1082,1427
4,8.5,9,1,0,212,548,596,565,797,864,795,818,1125,1274,1043,1133,1497
4,9,9.5,1,0,220,570,618,587,834,903,830,854,1175,1335,1086,1185,1568
4,9.5,10,1,0,228,591,640,610,870,942,864,891,1226,1396,1128,1237,1638
4,10,10.5,1,0,234,611,659,630,905,979,893,927,1271,1452,1166,1283,1703
4,10.5,11,1,0,241,630,678,651,939,1016,921,963,1315,1508,1204,1329,1768
4,11,11.5,1,0,248,649,697,671,974,1053,950,998,1360,1564,1241,1375,1832
4,11.5,12,1,0,255,668,716,692,1008,1090,978,1034,1405,1620,1279,1421,1897
4,12,12.5,1,0,262,687,736,712,1043,1127,1007,1070,1450,1676,1317,1467,1962
4,12.5,13,1,0,269,707,755,733,1077,1164,1035,1106,1494,1732,1355,1512,2026
4,13,13.5,1,0,276,726,774,754,1111,1201,1064,1142,1539,1789,1392,1558,2091
4,13.5,14,1,0,282,745,793,774,1146,1238,1092,1177,1584,1845,1430,1604,2156
4,14,14.5,1,0,289,764,812,795,1180,1275,1121,1213,1629,1901,1468,1650,2220
4,14.5,15,1,0,296,783,832,815,1215,1312,1149,1249,1673,1957,1506,1696,2285
4,15,15.5,1,0,303,802,851,836,1249,1349,1178,1285,1718,2013,1543,1742,2350
4,15.5,16,1,0,310,822,870,856,1284,1386,1206,1321,1763,2069,1581,1788,2414
4,16,16.5,1,0,317,841,889,877,1318,1423,1235,1356,1808,2125,1619,1834,2479
4,16.5,17,1,0,323,860,908,897,1352,1460,1263,1392,1852,2181,1657,1880,2544
4,17,17.5,1,0,330,879,927,918,1387,1497,1292,1428,1897,2238,1694,1926,2608
4,17.5,18,1,0,337,898,947,938,1421,1534,1320,1464,1942,2294,1732,1972,2673
4,18,18.5,1,0,344,917,966,959,1456,1571,1349,1500,1987,2350,1770,2018,2738
4,18.5,19,1,0,351,937,985,980,1490,1608,1377,1536,2032,2406,1808,2064,2802
4,19,19.5,1,0,358,956,1004,1000,1525,1645,1406,1571,2076,2462,1845,2110,2867
4,19.5,20,1,0,364,975,1023,1021,1559,1682,1434,1607,2121,2518,1883,2155,2932
4,21,30,2,1,18.1,46.5,49.1,49.1,73.6,77.5,62,63.3,77.5,95.6,90.4,82.7,140.8
4,31,50,2,1,15.5,46.5,49.1,49.1,69.8,77.5,62,63.3,77.5,95.6,90.4,82.7,140.8
4,51,100,2,1,12.9,43.9,43.9,46.5,65.9,73.6,59.4,60.7,73.6,90.4,86.6,78.8,129.2
